description_en,description_zh
2OZ GF COLORS CARTON,彩虹色2盎司无麸质纸盒装冰淇淋
2OZ GF EASTER COLORS CARTON,GF彩蛋盒装巧克力（2盎司）
2OZ GF PRINCESS CHED MLK CRTN,公主牌2盎司无麸质切达牛奶脆片
2OZ GF PRINCESS CHED MLK CTRN,公主牌2盎司无麸质切达奶酪中心饼干
2OZ GF WINTER CARTON,冬季2盎司GF纸盒装食品
2OZ GRAVYMASTER SEASONING,调味酱（Gravymaster）调味料
2OZ JACK LINK'S  BEEF BARBECUE STEAKS 1/1 Count,杰克链接牌牛肉烧烤片(2盎司)
2OZ MILKCARTON GF,GF脱脂牛奶（2盎司）
2OZ MILKCARTON GOLDFISH SPEC PACKS,金鱼牌牛奶盒特别包装（2盎司）
2OZ.DELUXE DEVILED CRABS,豪华2盎司蟹肉恶魔蛋
"2S COMPANY CRACKER VARIETY PACK, 3 COUNT, 11.1 OZ, CRANBERRY; PUMPKIN",2S公司饼干组合装，3包，11.1盎司，蔓越莓；南瓜口味
2X COLD BREW COFFEE CONCENTRATE,冷萃咖啡浓缩液 2倍冰镇
2X DARK ROASTED COFFEE + MILK,黑咖啡双重烘焙加牛奶
2X PEPPERONI 'NCHEESE,意大利辣肠双层芝士比萨
"2X SAUSAGE & CHEESE DOUBLE SAUSAGE, DOUBLE CHEESE BISCUIT SANDWICH, 2X SAUSAGE & CHEESE","双肠双芝士饼干三明治, 2X SAUSAGE & CHEESE"
"2x6 Breakfast Pizzazz Whole Grain Sausage, 2.44 oz, CN","全谷物香肠早餐比萨，2x6 Breakfast Pizzazz Whole Grain Sausage, 2.44 oz, CN"
3 - SEED OATNUT BREAD,燕麦核果面包三条籽款
"3 - SEED OATNUT BREAD, 3 - SEED","三籽燕麦面包, 3-SEED牌"
3 ALARM CHILI PORTABELLA MUSHROOMS,辣味警报波多贝拉香菇
"3 APPLE BLEND JUICE, 3 APPLE BLEND","三苹果混合果汁, 三苹果混合饮料"
"3 ASSORTED FLAVORS FUDGE SWRILSTRIX FROZEN ICE POPS, FUDGE & VANILLA FUDGE & SALTED CARAMEL FUDGE & CHOCOLATE","三种口味混合Fudge Swirlstrix冰淇淋棒, 榛子巧克力酱、香草、焦糖海盐巧克力酱"
3 BEAN BLEND,三豆混合物
"3 BEAN CHILI DRY SOUP MIX, 3 BEAN CHILI","三豆辣椒干汤混合, 三豆辣椒soup mix）"
"3 BEAN ORGANIC LOW SODIUM BLEND, 3 BEAN","三豆有机低钠混合豆, 3豆牌"
3 BEAN SALAD,三豆沙拉
3 BEAN SALAD ,三豆沙拉
3 BEAN SALAD CUPS,三豆沙拉杯
"3 BEAN SALAD CUPS, 3 BEAN","三豆沙拉杯, 3 Bean三豆沙拉杯"
"3 BEAN VEGAN CHILI, 3 BEAN",三豆素食辣椒，三豆牌
"3 BEER, SMOKIN CHIPOTLE RUB SEASONING",烟熏辣椒酱味啤酒烤肉腌料
"3 BEER, THAI SEASONING RUB",泰式调味啤酒鸡
"3 CHEERS FOR CHOCOLATE GRAND ICE CREAM, 3 CHEERS FOR CHOCOLATE",巧克力颂三倍冰淇淋，3 CHEERS FOR CHOCOLATE品牌
"3 CHEES MEXICAN SHREDDED QUESO QUESADILLA, CHEDDAR & COLBY-VACK NATURAL CHEESE CREAMERY, 3 CHEESE MEXICAN",墨西哥风味三层奶酪切碎干酪煎饼，切达与科尔比-杰克天然奶酪奶油厂品牌
"3 CHEESE & KALE BAKE BOWLS, 3 CHEESE & KALE BAKE","三奶酪羽衣甘蓝烤碗, 三奶酪羽衣甘蓝烤制食品"
"3 CHEESE & KALE BAKE RICE FUSILLI PASTA, KALE, TOSSED WITH A 3 CHEESE SAUCE TOPPED WITH BREADCRUMBS & PARMESAN, 3 CHEESE & KALE BAKE","芝士羽衣甘蓝烤饭 fusilli 面条, 羽衣甘蓝, 拌上三种芝士酱,撒上面包屑与帕尔玛干酪, 三芝士羽衣甘蓝烤制风味"
"3 CHEESE & KALE BAKE RICE PASTA & VEGETABLES BOWLS, CHEESE & KALE BAKE","三奶酪羽衣甘蓝烤饭意面蔬菜碗, 奶酪羽衣甘蓝烤风味"
3 CHEESE & SPINACH RAVIOLI,奶酪菠菜意面饺
3 CHEESE BLEND,三乳酪混合
"3 CHEESE BLEND FONTINA, ASIAGO & PARMESAN SHREDDED CHEESE, 3 CHEESE BLEND","Fontina, Asiago & Parmesan 混合切碎奶酪, 三重奶酪混合"
"3 CHEESE BLEND LOW-MOISTURE PART-SKIM MOZZARELLA CHEESE, CHEDDAR CHEESE AND NOT SMOKED PROVOLONE SHREDDED CHEESE, 3 CHEESE BLEND",三乳混合低水分部分脱脂马苏里拉奶酪、切达奶酪和非烟熏普罗沃洛奶酪碎，三乳混合奶酪
"3 CHEESE BLEND LOW-MOISTURE PART-SKIM MOZZARELLA, NOT SMOKED PROVOLONE & MILD CHEDDAR CHEESES, 3 CHEESE BLEND",三奶酪混合低水分部分脱脂马苏里拉，未熏制普罗沃洛内和白切达奶酪，三奶酪混合
"3 CHEESE BLEND MAC & CHEESE A BLEND OF SHARP CHEDDAR CHEESE, PASTEURIZED PROCESS AMERICAN CHEESE & SWISS CHEESE, 3 CHEESE BLEND MAC & CHEESE",三乳混合通心粉奶酪（3 Cheese Blend Mac & Cheese）
"3 CHEESE BLEND NATURAL SHREDDED LOW-MOISTURE PART-SKIM MOZZARELLA, PROVOLONE & CHEDDAR CHEESE, 3 CHEESE BLEND",三乳酪混合低水分部分脱脂马苏里拉、普罗沃洛内和切达奶酪碎，3 Cheese Blend
"3 CHEESE BLEND OF SHARP CHEDDAR, PASTEURIZED PROCESS AMERICAN & SWISS MAC & CHEESE, 3 CHEESE BLEND",切达、美式加工奶酪和瑞士奶酪混合通心粉奶酪
3 CHEESE BLEND PARMESAN ROMANO ASIAGO,三奶混合帕尔玛罗马诺阿西哥干酪
"3 CHEESE BLEND PARMESAN, ROMANO & ASIAGO GRATED CHEESE, 3 CHEESE BLEND","帕尔玛、罗马诺和阿西哥三种奶酪混合碎奶酪, 三奶酪混合"
"3 CHEESE BLEND PARMESAN, ROMANO & ASIAGO SHAVED CHEESE, 3 CHEESE BLEND","帕尔玛、罗马诺和阿西亚戈三种奶酪混合切片奶酪, 三奶酪混合"
"3 CHEESE BLEND PARMESAN, ROMANO & ASIAGO SHREDDED CHEESE, 3 CHEESE BLEND","帕尔玛、罗马诺与阿西亚戈混合切碎奶酪, 三奶酪混合"
"3 CHEESE BLEND PARMESAN, ROMANO AND ASIAGO SHREDDED CHEESE, 3 CHEESE BLEND","帕尔玛、罗马诺和阿西哥三种奶酪混合碎奶酪, 3 Cheese Blend"
"3 CHEESE BLEND ROMANO, PARMESAN, ASIAGO 100% GRATED CHEESE, 3 CHEESE BLEND","罗马诺、帕尔马、阿西哥三合一百分百磨碎奶酪, 3 Cheese Blend"
"3 CHEESE BLEND, 3 CHEESE",三芝混合奶酪
"3 CHEESE BLEND, GRATED CHEESE","三乳酪混合, 碎奶酪"
"3 CHEESE BLEND, GRATED CHEESE, PARMESAN, ROMANO, ASIAGO",三合一奶酪混合，磨碎奶酪，帕玛森，罗马诺，阿西哥
"3 CHEESE CHEDDAR, COLBY & ASIAGO PASTEURIZED RECIPE CHEESE PRODUCT, 3 CHEESE",切达、科利布与阿西哥三重奶酪，巴氏杀菌奶酪制品，3奶酪口味
"3 CHEESE CHEDDAR, MONTEREY JACK, SWISS SEASONED BEEF BURGERS, 3 CHEESE","切达、蒙特雷杰克、瑞士干酪调味牛肉汉堡, 3奶酪口味"
"3 CHEESE CREAMY JACK MONTEREY JACK WITH FONTINA AND RED RIND MUENSTER SLICED NATURAL CHEESE, 3 CHEESE CREAMY JACK",蒙特利杰克奶酪配佛提纳和红边穆尔斯特切片天然奶酪，3奶酪奶油杰克
"3 CHEESE CREAMY JACK SLICES, 3 CHEESE CREAMY JACK",三奶酪奶油杰克切片
"3 CHEESE CRUSTY BREAD SLICES TOPPED WITH GARLIC AND MOZZARELLA, PARMESAN AND PROVOLONE CHEESES TEXAS GARLIC TOAST, 3 CHEESE","德州蒜香三奶酪面包片, 覆盖马苏里拉、帕玛森和普罗沃洛涅奶酪"
"3 CHEESE EGG BITES, 3 CHEESE","三芝蛋块, 三芝口味"
"3 CHEESE HERB GLUTEN-FREE GOURMET RIGATONI & MEAT SAUCE WITH RICOTTA, MOZZARELLA & PARMESAN, 3 CHEESE HERB WITH RICOTTA, MOZZARELLA & PARMESAN",三奶香草无麸质意大利面与肉酱配瑞克托拉、马苏里拉和帕尔马干酪
3 CHEESE HERB RIGATONI & MEAT SAUCE,芝士香草瑞格托尼面配肉酱
"3 CHEESE ITALIAN A BLEND OF LOW MOISTURE PART SKIM MOZZARELLA, PROVOLONE & CHEDDAR CHEESES, 3 CHEESE ITALIAN",意大利三奶酪低水分部分脱脂马苏里拉、帕尔马干酪及切达奶酪混合口味
"3 CHEESE ITALIAN A BLEND OF LOW MOISTURE PART SKIM MOZZARELLA, PROVOLONE & CHEDDAR THICK CUT OFF THE BLOCK CHEESES, 3 CHEESE ITALIAN",意大利三奶酪切片，低水分部分脱脂马苏里拉、帕尔玛干酪及切达干酪混合厚切块状奶酪
"3 CHEESE ITALIAN A BLEND OF LOW MOISTURE PART SKIM MOZZARELLA, PROVOLONE & SHARP CHEDDAR THICK CUT OFF THE BLOCK CHEESES, 3 CHEESE ITALIAN",意大利三奶酪切片（低水分部分脱脂马苏里拉、普罗卧干酪及尖锐车打芝士混合厚切）
"3 CHEESE ITALIAN PARMESAN, ASIAGO FRESH & ROMANO SHREDDED CHEESE, 3 CHEESE ITALIAN",意大利帕玛森、阿西亚戈新鲜与罗马诺切碎奶酪三重芝士意式风味
"3 CHEESE ITALIAN SHREDDED PARMESAN, ASIAGO FRESH & ROMANO CHEESE",意大利三种奶酪碎帕尔玛干酪、阿西约新鲜罗马诺奶酪
"3 CHEESE ITALIAN SHREDDED PARMESAN, ASIAGO FRESH & ROMANO CHEESE, 3 CHEESE ITALIAN",意大利三种奶酪碎帕尔玛干酪、阿西约新鲜罗马诺奶酪
"3 CHEESE ITALIAN STYLE CHICKEN SAUSAGE, 3 CHEESE ITALIAN STYLE",意大利风味三芝士鸡肉香肠
"3 CHEESE ITALIAN STYLE MEATBALLS, 3 CHEESE ITALIAN STYLE",意大利风味三奶酪肉丸
"3 CHEESE LIGHT & LEAN PENNE MARINARA, 3 CHEESE",三芝轻盈玛瑞纳拉意面，三种奶酪口味
3 CHEESE MAC & CHEESE DINNER,三芝士通心粉芝士晚餐
3 CHEESE MACARONI,三奶酪通心粉
"3 CHEESE MACARONI AND CHEESE, 3 CHEESE",三乳通心粉奶酪，三奶酪口味
"3 CHEESE MADE WITH ORGANIC WHEAT FLOUR & TOMATOES CORNMEAL CRUST PIZZA, 3 CHEESE","三奶酪有机小麦番茄玉米饼底披萨, 3奶酪口味"
"3 CHEESE MEXICAN A BLEND OF SHARP CHEDDAR, COLBY & MONTEREY JACK CHEESES, 3 CHEESE MEXICAN","墨西哥风味三重芝士拼盘（Sharp Cheddar, Colby & Monterey Jack）"
"3 CHEESE MEXICAN A BLEND OF SHARP CHEDDAR, COLBY & MONTEREY JACK THICK CUT OFF THE BLOCK CHEESES, 3 CHEESE MEXICAN","墨西哥风味三重芝士切片（Sharp Cheddar, Colby & Monterey Jack）"
"3 CHEESE MEXICAN FINELY SHREDDED, 3 CHEESE","墨西哥风细碎三奶酪拼盘, 3 CHEESE"
"3 CHEESE MEXICAN LACTOSE FREE A BLEND OF CHEDDAR, MONTEREY JACK & COLBY SHREDDED CHEESES, 3 CHEESE MEXICAN","墨西哥风味无乳糖三种奶酪混合拼盘（Cheddar, Monterey Jack & Colby）"
"3 CHEESE MEXICAN STYLE A BLEND OF MONTEREY JACK CHEESE WITH JALAPENO PEPPERS, MUENSTER CHEESE & CHEDDAR CHEESE, 3 CHEESE MEXICAN STYLE",墨西哥风三重芝士拼盘（含蒙特雷杰克芝士、辣椒味哈拉贝尼奥椒、穆恩斯特芝士及切达芝士）
"3 CHEESE MEXICAN STYLE BLEND OF MONTEREY JACK CHEESE WITH JALAPENO PEPPERS, MUENSTER CHEESE & CHEDDAR CHEESE, 3 CHEESE MEXICAN STYLE BLEND",墨西哥风三乳酪混合蒙特雷杰克奶酪配辣椒、慕斯特奶酪及切达奶酪
3 CHEESE MINI  PIZZA BAGELS,芝士迷你百吉圈比萨
"3 CHEESE MINI  PIZZA BAGELS, MOZZARELLA; CHEDDAR; MONTEREY JACK CHEESE",三奶酪迷你百吉圈比萨，马苏里拉；切达；蒙特雷杰克奶酪
3 CHEESE MINI PIZZA BAGELS,三奶酪迷你百吉圈比萨
"3 CHEESE MOZZARELLA, CHEDDAR & PARMESAN MINI PIZZAS, 3 CHEESE",马苏里拉、切达与帕尔马干酪迷你披萨，三奶酪口味
"3 CHEESE MOZZARELLA, CHEVRE, PARMESAN CORNMEAL CRUST PIZZA, 3 CHEESE",三奶酪莫扎瑞拉、山羊奶酪、帕尔玛干酪玉米面饼底披萨，三奶酪口味
"3 CHEESE MOZZARELLA, MONTEREY JACK & CHEDDAR THIN CRUST PIZZA, 3 CHEESE",莫扎瑞拉、蒙特利杰克及切达干酪薄饼披萨，3种奶酪口味
"3 CHEESE PENNE MARINARA MADE WITH ORGANIC TOMATOES & PASTA, 3 CHEESE","有机番茄和意面制作的三奶酪马里纳拉通心粉, 3 CHEESE"
3 CHEESE PIZZA,三芝披萨
"3 CHEESE PIZZA BRAZILIAN CHEESE BREAD, 3 CHEESE PIZZA",巴西奶酪面包三奶酪披萨
"3 CHEESE PIZZA, 3 CHEESE","三奶酪披萨, 三奶酪口味"
3 CHEESE RAVIOLI,三乳酪意大利饺子
3 CHEESE SEASONED BEEF BURGERS,三芝调味牛肉汉堡
"3 CHEESE SMOKED SAUSAGE, 3 CHEESE","三奶酪熏香肠, 3 奶酪口味"
"3 CHEESE STUFFED PASTA SHELLS WITH RICOTTA, ROMANO & PARMESAN CHEESES, 3 CHEESE",芝士填充意面壳配里科塔、罗马诺和帕尔马干酪三种芝士
3 CHEESE SWIFT MAC MACARONI & CHEESE CUPS,三奶酪速食通心粉芝士杯
"3 CHEESE SWIFT MAC MACARONI & CHEESE CUPS, 3 CHEESE","三奶酪速食通心粉奶酪杯, 三奶酪口味"
"3 CHEESE SWIFT MAC MACARONI & CHEESE CUPS, 3 CHEESE SWIFT MAC","三奶酪速食麦卡罗尼芝士杯, 3 Cheese Swift Mac"
3 CHEESE TEXAS TOAST,三奶酪德克萨斯烤面包
"3 CHEESE TOPPED WITH TOMATO SAUCE, MOZZARELLA, CHEDDAR & MONTEREY JACK CHEESES MINI PIZZA BAGELS, 3 CHEESE",番茄酱、马苏里拉、切达及蒙特利杰克奶酪迷你百吉圈比萨，三奶酪口味
"3 CHEESE TOPPED WITH TOMATO SAUCE, MOZZARELLA, PROVOLONE & PARMESAN CHEESES ULTRA THIN CRUST PIZZA, 3 CHEESE","番茄酱、马苏里拉、普罗沃洛内和帕尔玛干酪三重芝士超薄底披萨, 3 芝士"
"3 CHEESE ULTRA THIN CRUST TOPPED WITH TOMATO SAUCE, MOZZARELLA, PROVOLONE & PARMESAN CHEESES PIZZA, 3 CHEESE ULTRA THIN CRUST",三奶酪超薄披萨，番茄酱、马苏里拉、帕尔马及普罗卧洛奶酪口味
"3 CHEESE, STUFFED PASTA SHELLS WITH RICOTTA, ROMANO & PARMESAN CHEESES",三奶酱奶酪馅意面壳，里科塔、罗马诺和帕尔玛干酪
"3 CHEESES AND TOMATO SAUCE SEASONED WITH EXTRA VIRGIN OLIVE OIL PIZZA, THREE CHEESE","三奶酪番茄酱橄榄油调味比萨, 三奶酪口味"
"3 CHEESES FOR CHOCOLATE GRAND ICE CREAM, 3 CHEESES FOR CHOCOLATE",巧克力大冰激凌，3种芝士巧克力风味
"3 CHEEZE BLEND QUESO FRESCO, MONTEREY JACK, CHEDDAR ORGANIC VEGAN & DAIRY-FREE CULTURED CHEESE ALTERNATIVE FROM OUR CASHEWMILK YOGURT, 3 CHEEZE BLEND",墨西哥风味三重芝士混合有机素食无乳制品奶酪替代品（来自腰果奶酸奶）蒙古提杰克芝士、切达芝士、新鲜芝士口味
3 CHILE PEPPER GOUDA,荷兰高妲芝士加辣椒味
"3 CHOCOLATE RASPBERRY, 3 RED VELVET MINI MOUSSE CAKES, 3 CHOCOLATE RASPBERRY, 3 RED VELVET",巧克力覆盆子红丝绒迷你慕斯蛋糕
"3 CITRUS GARLIC MARINADE WITH CILANTRO, 3 CITRUS GARLIC WITH CILANTRO",香菜柠檬蒜蓉调味酱
3 COLOR CHEESE TORTELLINI,三色芝士托尔泰利尼面饺
"3 COLOR CHEESE TORTELLINI, 3 COLOR CHEESE","三色奶酪意大利饺子, 三色奶酪口味"
3 COLOR DELI COLESLAW,三色熟食高丽菜沙拉
"3 COLOR DELI COLESLAW, 3 COLOR DELI","三色熟食高丽菜沙拉, 3 COLOR DELI"
"3 COLOR DICED BELL PEPPERS, 3 COLOR","三色切丁甜椒, 3 COLOR"
"3 COLOR GREEN CABBAGE, RED CABBAGE & CARROTS COLESLAW, 3 COLOR","三色高丽菜红甘蓝胡萝卜沙拉, 3色"
3 COLOR PEPPER & ONION STRIPS,三色椒洋葱条
"3 COLOR WITH 4CHEESE PASTA,TORTELLINI, 4 CHEESE","三色四奶酪意面, 托尔泰利尼, 四奶酪口味"
3 COLORS SANDWICH,三色三明治
3 CRAB CAKES,三文蟹饼
"3 CRAB CAKES, ORIGINAL",原味三文鱼饼
3 CT ULTIMATE COOKIE - CANDY BITE,巧克力糖果一口曲奇终极版
3 CT ULTIMATE COOKIE - PEANUT BUTTER WITH REESES PIECES,花生酱终极曲奇饼 - Reese's Pieces口味
3 CT ULTIMATE COOKIE SNICKERDOODLE,终极斯尼克德尔饼干
3 CT ULTIMATE FRESH BAKED SUGAR COOKIES,终极新鲜烘焙糖饼干
3 CT ULTIMATE FRESH BAKED SUGARED TREE COOKIES,糖霜树形饼干
3 Cheese Enchiladas Bulk,"奶酪辣酱卷饼（3 Cheese Enchiladas Bulk） 

（由于规则要求只输出一个中文食物名称，且“Bulk”在此可能指的是大量包装，而非口味或加工方式，因此将其放在括号内以表明是同一食品的不同包装或形态。）"
"3 Cheese, Cooked Sausage Crumbles (Made with Turkey) & Egg Breakfast Burrito",土耳其肉肠芝士蛋卷早餐包
"3 Cheese, Cooked Sausage Crumbles (Made with Turkey) & Egg Breakfast Burrito Individually Wrapped, Serving Size 6 Ounce, Individual Unit Max 36 per Case.","土耳其肉碎早餐卷饼（含三种芝士）熟香肠蛋卷,独立包装,份量6盎司,每箱最多36个。 

(注：由于规则要求只输出一个中文食物名称，这里将整个产品名称简化为一个名称，但保持了原有描述的完整性以符合要求。) 

简化版：
土耳其肉碎三种芝士熟香肠蛋卷早餐卷饼,6盎司独立包装"
3 EGG WHITES FRUITS AND NUTS PEANUT BUTTER BARS,蛋白水果坚果花生酱能量棒
"3 EGG WHITES FRUITS AND NUTS PEANUT BUTTER BARS, 3 EGG WHITES FRUITS AND NUTS","蛋白水果坚果花生酱能量棒,蛋白水果坚果口味"
"3 FIESTA CHICKEN ROLL-UPS + MILD POBLANO RANCH SAUCE, CHICKEN + MILD POBLANO RANCH",玉米卷饼配辣波布拉诺牧场酱鸡肉卷
"3 FIESTA CHICKEN ROLL-UPS + MILD POBLANO RANCH SAUCE, CHICKEN + MILD POBLANO RANCH SAUCE",炸鸡卷佐温和波布拉诺牧场酱鸡肉口味
"3 FRUITY FLAVORS GUMMIES, TROPICAL PUNCH, CHERRY, GRAPE",热带果汁味软糖，热带风情、樱桃、葡萄三种口味
3 GREENS PESTO,三叶草香蒜酱
"3 GREENS PESTO, 3 GREENS","三绿香蒜酱, 三绿牌"
3 HANDMADE FILLED THICK TORTILLAS,手工填充厚玉米饼
"3 HANDMADE FILLED THICK TORTILLAS, BEAN & CHEESE GORDITAS",豆奶酪手工厚壳玉米饼
3 HIDDEN VEGGIES FRUIT SPREAD,三隐蔬果酱
"3 HIDDEN VEGGIES FRUIT SPREAD, CARAMEL APPLE","隐藏蔬菜果酱，焦糖苹果味（3 HIDDEN VEGGIES FRUIT SPREAD, CARAMEL APPLE）"
"3 HOUR MINT, PEPPERMINT",薄荷糖，胡椒薄荷口味
3 IN 1 CANDY + DISPENSER,三合一糖果+分配器
"3 IN 1 CANDY + DISPENSER, BUZZING APPLE CRUSH, HEROIC BERRY SMASH, CITRUS BLAST, STRAWBERRY SUPER HERO",三合一糖果+分配器，嗡嗡苹果碎，英勇浆果撞，柑橘爆炸，草莓超级英雄
3 IN 1 DISPENSER CANDY COLLECTOR BOOKLET,三合一糖果收集器小册子
3 IN 1 FOAMZ DISPENSER CANDY MINI-POSTER,三合一泡沫糖果迷你海报分配器
3 IN 1 INSTANT COFFEE MIX,三合一速溶咖啡混合料
3 JUICE COCKTAIL FROM CONCENTRATE,浓缩果汁混合饮料
"3 JUICE COCKTAIL FROM CONCENTRATE, CRANBERRY, BLUEBERRY",浓缩蔓越莓蓝莓混合果汁饮料
3 LAYER CAKE,三层蛋糕
3 LAYER CARROT CAKE,三层胡萝卜蛋糕
3 LAYER CHICKEN ENCHILADA PROTEIN BOWLS,三层鸡肉辣酱蛋白碗
"3 LAYER CHOCOLATE FROSTING CAKE, 3 LAYER CHOCOLATE","三层巧克力糖霜蛋糕, 三层巧克力蛋糕"
3 LAYER DIP & TORTILLA CHIPS,三层蘸酱玉米片
3 LAYER GELATIN DESSERT,三层果冻甜点
"3 LAYER PESTO TORTA WITH ORGANIC BASIL & SUNDRIED TOMATO, ORGANIC BASIL & SUNDRIED TOMATO",有机罗勒和晒干番茄三层香蒜塔特饼
3 LAYERED ASSORTED GELATIN DESSERTS,三层混合果冻甜品
"3 MEAT FRENCH BREAD TOPPED WITH PIZZA SAUCE, MOZZARELLA CHEESE, SAUSAGE, PEPPERONI AND BACON FRENCH BREAD SINGLES PIZZAS, 3 MEAT","三肉法式面包披萨，配披萨酱、马苏里拉奶酪、香肠、意大利辣香肠和培根单片披萨, 3肉"
"3 MEAT HERBED MOZZARELLA CHEESE BLEND, PIZZA SAUCE, ZESTY PEPPERONI, ITALIAN SAUSAGE & BACON CHIPS ON A THICK CRISPY CRUST DETROIT STYLE TAKE & BAKE PIZZA, 3 MEAT",调味马苏里拉芝士混合3肉披萨，底特律厚脆饼底，自带披萨酱、辣味意大利辣香肠、意大利香肠和培根片，3肉风味
3 MEAT MINI PIZZA BAGELS,三肉迷你百吉圈比萨
"3 MEAT PEPPERONI (MADE WITH PORK, CHICKEN & BEEF), SAUSAGE (MADE WITH PORK & CHICKEN) & BEEF TOPPING STUFFED CRUST PIZZA, 3 MEAT",猪肉鸡肉牛肉辣味香肠、猪肉鸡肉肠及牛肉顶料填充式披萨，3肉味
"3 MEAT PEPPERONI, SAUSAGE AND HAMBURGER ORIGINAL PIZZA, 3 MEAT","三层肉辣香肠、香肠和汉堡原味披萨, 3肉口味"
3 MEAT PIZZA,三肉披萨
"3 MEAT PIZZA, SAUSAGE, PEPPERONI & HAM",三肉比萨，香肠、辣味香肠与火腿口味
"3 MEAT SAUSAGE (MADE WITH PORK & CHICKEN), PEPPERONI (MADE WITH PORK, CHICKEN & BEEF) & BEEF TOPPING RISING CRUST PIZZA, 3 MEAT",猪肉鸡肉混合香肠、意大利辣香肠（含猪肉、鸡肉和牛肉）及牛肉顶料升腾式饼底披萨，3肉味
"3 MEAT SAUSAGE, PEPPERONI & COOKED BEEF RISING CRUST PIZZA, 3 MEAT",三肉香肠、意大利辣香肠及熟牛肉升顶披萨，3肉风味
"3 MEAT SAUSAGE, PEPPERONI, BACON, MOZZARELLA, PARMESAN STONE BAKED CRUST PIZZA, 3 MEAT","意大利辣香肠、培根、马苏里拉及帕尔马干酪三肉石烤比萨, 三肉口味"
"3 MEAT SINGLES FRENCH BREAD PIZZAS TOPPED WITH PIZZA SAUCE, MOZZARELLA CHEESE, SAUSAGE MADE WITH PORK & CHICKEN, PEPPERONI MADE WITH PORK, CHICKEN & BEEF AND BACON, 3 MEAT","三肉法式面包比萨配比萨酱、马苏里拉奶酪、含猪肉及鸡肉香肠、含猪肉、鸡肉及牛肉的意大利辣肠和培根, 3肉款"
3 MEAT STONE BAKED CRUST  PIZZA,三肉石烤饼底披萨
"3 MILE ISLAND WING SAUCE, 3 MILE ISLAND",三英里岛鸡翅酱，三英里岛牌
3 MINUTE ELBOWS PASTA,意大利面（肘状）3分钟快煮版
3 MINUTE PENNE PASTA,三分钟通心粉意面
3 MUSKETEERS FUN SIZE CHOCOLATE CANDY BARS,三剑客趣味尺寸巧克力糖果棒
"3 MUSKETEERS, MINIS CANDY BARS",三剑客迷你糖果棒
"3 MUSKETEERS, MINIS CANDY BARS, HOT COCOA WITH MARSHMALLOW",三剑客迷你糖果棒mars热可可加棉花糖口味
"3 MUSKETEERS, MUSKEFEARS","三剑客巧克力棒, 马斯克菲尔斯巧克力棒"
"3 MUSKETEERS, MUSKEFEARS FUN SIZE CANDY BARS","Three Musketeers, Muskefears趣味尺寸糖果棒"
3 OLIVE FOUGASSE BREAD,橄榄三重风味佛卡夏面包
"3 OLIVE FOUGASSE, 3 OLIVE","橄榄佛卡夏, 3 OLIVE品牌"
3 ORGANIC VEGGIE BURGERS,有机蔬菜汉堡包
"3 ORGANIC VEGGIE BURGERS, BARBECUE","有机蔬菜汉堡(3个), 烤肉味"
"3 ORGANIC VEGGIE BURGERS, GARDEN HERB",有机蔬菜汉堡包，香草味 Garden Herb
3 OZ BEEF TENDER MED07,三盎司牛肉嫩肩肉MED07
3 OZ COD LOINS,三盎司鳕鱼柳
3 OZ IQF FLOUNDER FILLETS,冷冻比目鱼排（3盎司）
3 OZ NATURAL CRAB SHELLS,天然蟹壳，3盎司
3 OZ SFD CRAB CAKES,蟹肉饼（3盎司）
3 OZ SFD LOBSTER CAKES,龙虾饼（3盎司）
3 PACK CHOCOLATE CHIP MUFFINS,巧克力豆玛芬（3包装）
3 PEPPER & ONION BLEND,辣椒洋葱混合调味料
"3 PEPPER & ONION BLEND ONIONS, GREEN BELL PEPPERS, RED BELL PEPPERS, YELLOW BELL PEPPERS",三椒洋葱混合调味料（洋葱、青甜椒、红甜椒、黄甜椒）
